"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IR3TIB","Short-term interest rates, Per cent per annum","CAN","Canada","A","Annual","1989","1989","PC","Percentage","0","Units",,,12.17675,,
"IR3TIB","Short-term interest rates, Per cent per annum","CAN","Canada","A","Annual","1990","1990","PC","Percentage","0","Units",,,13.02129,,
"IR3TIB","Short-term interest rates, Per cent per annum","CAN","Canada","A","Annual","1991","1991","PC","Percentage","0","Units",,,9.110209,,
"IR3TIB","Short-term interest rates, Per cent per annum","CAN","Canada","A","Annual","1992","1992","PC","Percentage","0","Units",,,6.677083,,
"IR3TIB","Short-term interest rates, Per cent per annum","CAN","Canada","A","Annual","1993","1993","PC","Percentage","0","Units",,,5.102958,,
"IR3TIB","Short-term interest rates, Per cent per annum","CAN","Canada","A","Annual","1994","1994","PC","Percentage","0","Units",,,5.487709,,
"IR3TIB","Short-term interest rates, Per cent per annum","CAN","Canada","A","Annual","1995","1995","PC","Percentage","0","Units",,,7.130799,,
"IR3TIB","Short-term interest rates, Per cent per annum","CAN","Canada","A","Annual","1996","1996","PC","Percentage","0","Units",,,4.449064,,
"IR3TIB","Short-term interest rates, Per cent per annum","CAN","Canada","A","Annual","1997","1997","PC","Percentage","0","Units",,,3.557645,,
"IR3TIB","Short-term interest rates, Per cent per annum","CAN","Canada","A","Annual","1998","1998","PC","Percentage","0","Units",,,5.068404,,
"IR3TIB","Short-term interest rates, Per cent per annum","CAN","Canada","A","Annual","1999","1999","PC","Percentage","0","Units",,,4.915108,,
"IR3TIB","Short-term interest rates, Per cent per annum","CAN","Canada","A","Annual","2000","2000","PC","Percentage","0","Units",,,5.698482,,
"IR3TIB","Short-term interest rates, Per cent per annum","CAN","Canada","A","Annual","2001","2001","PC","Percentage","0","Units",,,4.003615,,
"IR3TIB","Short-term interest rates, Per cent per annum","CAN","Canada","A","Annual","2002","2002","PC","Percentage","0","Units",,,2.623688,,
"IR3TIB","Short-term interest rates, Per cent per annum","CAN","Canada","A","Annual","2003","2003","PC","Percentage","0","Units",,,2.964421,,
"IR3TIB","Short-term interest rates, Per cent per annum","CAN","Canada","A","Annual","2004","2004","PC","Percentage","0","Units",,,2.311883,,
"IR3TIB","Short-term interest rates, Per cent per annum","CAN","Canada","A","Annual","2005","2005","PC","Percentage","0","Units",,,2.806772,,
"IR3TIB","Short-term interest rates, Per cent per annum","CAN","Canada","A","Annual","2006","2006","PC","Percentage","0","Units",,,4.177135,,
"IR3TIB","Short-term interest rates, Per cent per annum","CAN","Canada","A","Annual","2007","2007","PC","Percentage","0","Units",,,4.625115,,
"IR3TIB","Short-term interest rates, Per cent per annum","CAN","Canada","A","Annual","2008","2008","PC","Percentage","0","Units",,,3.340618,,
"IR3TIB","Short-term interest rates, Per cent per annum","CAN","Canada","A","Annual","2009","2009","PC","Percentage","0","Units",,,0.6938224,,
"IR3TIB","Short-term interest rates, Per cent per annum","CAN","Canada","A","Annual","2010","2010","PC","Percentage","0","Units",,,0.7758598,,
"IR3TIB","Short-term interest rates, Per cent per annum","CAN","Canada","A","Annual","2011","2011","PC","Percentage","0","Units",,,1.169322,,
"IR3TIB","Short-term interest rates, Per cent per annum","CAN","Canada","A","Annual","2012","2012","PC","Percentage","0","Units",,,1.159862,,
"IR3TIB","Short-term interest rates, Per cent per annum","CAN","Canada","A","Annual","2013","2013","PC","Percentage","0","Units",,,1.164424,,
"IR3TIB","Short-term interest rates, Per cent per annum","CAN","Canada","A","Annual","2014","2014","PC","Percentage","0","Units",,,1.172978,,
"IR3TIB","Short-term interest rates, Per cent per annum","CAN","Canada","A","Annual","2015","2015","PC","Percentage","0","Units",,,0.822647,,
"IR3TIB","Short-term interest rates, Per cent per annum","CAN","Canada","A","Annual","2016","2016","PC","Percentage","0","Units",,,0.8163781,,
"IR3TIB","Short-term interest rates, Per cent per annum","CAN","Canada","A","Annual","2017","2017","PC","Percentage","0","Units",,,1.061357,,
"IR3TIB","Short-term interest rates, Per cent per annum","CAN","Canada","A","Annual","2018","2018","PC","Percentage","0","Units",,,1.790603,,
"IR3TIB","Short-term interest rates, Per cent per annum","CAN","Canada","A","Annual","2019","2019","PC","Percentage","0","Units",,,1.890311,,
"IR3TIB","Short-term interest rates, Per cent per annum","CAN","Canada","A","Annual","2020","2020","PC","Percentage","0","Units",,,0.6352521,,
"IR3TIB","Short-term interest rates, Per cent per annum","CAN","Canada","A","Annual","2021","2021","PC","Percentage","0","Units",,,0.2092651,,
"IR3TIB","Short-term interest rates, Per cent per annum","CAN","Canada","A","Annual","2022","2022","PC","Percentage","0","Units",,,2.55652,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","CAN","Canada","A","Annual","1975","1975","PC","Percentage","0","Units",,,9.2321,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","CAN","Canada","A","Annual","1976","1976","PC","Percentage","0","Units",,,8.4471,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","CAN","Canada","A","Annual","1977","1977","PC","Percentage","0","Units",,,5.8757,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","CAN","Canada","A","Annual","1978","1978","PC","Percentage","0","Units",,,6.6071,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","CAN","Canada","A","Annual","1979","1979","PC","Percentage","0","Units",,,13.2143,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","CAN","Canada","A","Annual","1980","1980","PC","Percentage","0","Units",,,18.9643,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","CAN","Canada","A","Annual","1981","1981","PC","Percentage","0","Units",,,12.8214,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","CAN","Canada","A","Annual","1982","1982","PC","Percentage","0","Units",,,10.3757,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","CAN","Canada","A","Annual","1983","1983","PC","Percentage","0","Units",,,9.0671,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","CAN","Canada","A","Annual","1984","1984","PC","Percentage","0","Units",,,10.1614,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","CAN","Canada","A","Annual","1985","1985","PC","Percentage","0","Units",,,9.8393,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","CAN","Canada","A","Annual","1986","1986","PC","Percentage","0","Units",,,8.1607,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","CAN","Canada","A","Annual","1987","1987","PC","Percentage","0","Units",,,8.5,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","CAN","Canada","A","Annual","1988","1988","PC","Percentage","0","Units",,,10.3514,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","CAN","Canada","A","Annual","1989","1989","PC","Percentage","0","Units",,,12.0625,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","CAN","Canada","A","Annual","1990","1990","PC","Percentage","0","Units",,,11.6161,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","CAN","Canada","A","Annual","1991","1991","PC","Percentage","0","Units",,,7.4018,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","CAN","Canada","A","Annual","1992","1992","PC","Percentage","0","Units",,,6.7946,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","CAN","Canada","A","Annual","1993","1993","PC","Percentage","0","Units",,,3.7857,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","CAN","Canada","A","Annual","1994","1994","PC","Percentage","0","Units",,,5.5357,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","CAN","Canada","A","Annual","1995","1995","PC","Percentage","0","Units",,,5.7086,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","CAN","Canada","A","Annual","1996","1996","PC","Percentage","0","Units",,,3.01,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","CAN","Canada","A","Annual","1997","1997","PC","Percentage","0","Units",,,4.3357,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","CAN","Canada","A","Annual","1998","1998","PC","Percentage","0","Units",,,5.1129,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","CAN","Canada","A","Annual","1999","1999","PC","Percentage","0","Units",,,4.7586,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","CAN","Canada","A","Annual","2000","2000","PC","Percentage","0","Units",,,5.8,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","CAN","Canada","A","Annual","2001","2001","PC","Percentage","0","Units",,,2.2444,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","CAN","Canada","A","Annual","2002","2002","PC","Percentage","0","Units",,,2.7439,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","CAN","Canada","A","Annual","2003","2003","PC","Percentage","0","Units",,,2.7481,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","CAN","Canada","A","Annual","2004","2004","PC","Percentage","0","Units",,,2.4999,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","CAN","Canada","A","Annual","2005","2005","PC","Percentage","0","Units",,,3.2437,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","CAN","Canada","A","Annual","2006","2006","PC","Percentage","0","Units",,,4.2482,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","CAN","Canada","A","Annual","2007","2007","PC","Percentage","0","Units",,,4.2597,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","CAN","Canada","A","Annual","2008","2008","PC","Percentage","0","Units",,,1.5017,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","CAN","Canada","A","Annual","2009","2009","PC","Percentage","0","Units",,,0.2455,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","CAN","Canada","A","Annual","2010","2010","PC","Percentage","0","Units",,,0.9924,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","CAN","Canada","A","Annual","2011","2011","PC","Percentage","0","Units",,,0.9998,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","CAN","Canada","A","Annual","2012","2012","PC","Percentage","0","Units",,,0.9982,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","CAN","Canada","A","Annual","2013","2013","PC","Percentage","0","Units",,,1.0012,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","CAN","Canada","A","Annual","2014","2014","PC","Percentage","0","Units",,,1.0114,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","CAN","Canada","A","Annual","2015","2015","PC","Percentage","0","Units",,,0.5242,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","CAN","Canada","A","Annual","2016","2016","PC","Percentage","0","Units",,,0.4936,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","CAN","Canada","A","Annual","2017","2017","PC","Percentage","0","Units",,,0.997,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","CAN","Canada","A","Annual","2018","2018","PC","Percentage","0","Units",,,1.7516,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","CAN","Canada","A","Annual","2019","2019","PC","Percentage","0","Units",,,1.7479,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","CAN","Canada","A","Annual","2020","2020","PC","Percentage","0","Units",,,0.1741,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","CAN","Canada","A","Annual","2021","2021","PC","Percentage","0","Units",,,0.1274,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","CAN","Canada","A","Annual","2022","2022","PC","Percentage","0","Units",,,4.1245,,
"SP","Share Prices, Index","DEU","Germany","A","Annual","1974","1974","IDX","Index","0","Units","2015_100","2015=100",8.014446,,
"SP","Share Prices, Index","DEU","Germany","A","Annual","1975","1975","IDX","Index","0","Units","2015_100","2015=100",9.466769,,
